hash,token_count,title,combined_title,filename,content
5cdf68df,76,Before we begin,Introduction > Before we begin,/10-getting-started/10-introduction.md,"> If you're new to Svelte or SvelteKit we recommend checking out the (experimental!) [interactive tutorial](https://learn.svelte.dev).
>
> If you get stuck, reach out for help in the [Discord chatroom](https://svelte.dev/chat). "
ccd048d0,75,What is SvelteKit?,Introduction > What is SvelteKit?,/10-getting-started/10-introduction.md,"SvelteKit is a framework for rapidly developing robust, performant web applications using [Svelte](https://svelte.dev/). If you're coming from React, SvelteKit is similar to Next. If you're coming from Vue, SvelteKit is similar to Nuxt. "
e1f661f,125,What is Svelte?,Introduction > What is Svelte?,/10-getting-started/10-introduction.md,"In short, Svelte is a way of writing user interface components — like a navigation bar, comment section, or contact form — that users see and interact with in their browsers. The Svelte compiler converts your components to JavaScript that can be run to render the HTML for the page and to CSS that styles the page. You don't need to know Svelte to understand the rest of this guide, but it will help. If you'd like to learn more, check out [the Svelte tutorial](https://svelte.dev/tutorial). "
58531853,400,What does SvelteKit provide on top of Svelte?,Introduction > What does SvelteKit provide on top of Svelte?,/10-getting-started/10-introduction.md,"Svelte renders UI components. You can compose these components and render an entire page with just Svelte, but you need more than just Svelte to write an entire app. SvelteKit provides basic functionality like a [router](glossary#routing) — which updates the UI when a link is clicked — and [server-side rendering (SSR)](glossary#ssr). But beyond that, building an app with all the modern best practices is fiendishly complicated. Those practices include [build optimizations](https://vitejs.dev/guide/features.html#build-optimizations), so that you load only the minimal required code; [offline support](service-workers); [preloading](link-options#data-sveltekit-preload-data) pages before the user initiates navigation; [configurable rendering](page-options) that allows you to render different parts of your app on the server with [SSR](glossary#ssr), in the browser [client-side rendering](glossary#csr), or at build-time with [prerendering](glossary#prerendering); and many other things. SvelteKit does all the boring stuff for you so that you can get on with the creative part. It reflects changes to your code in the browser instantly to provide a lightning-fast and feature-rich development experience by leveraging [Vite](https://vitejs.dev/) with a [Svelte plugin](https://github.com/sveltejs/vite-plugin-svelte) to do [Hot Module Replacement (HMR)](https://github.com/sveltejs/vite-plugin-svelte/blob/main/docs/config.md#hot). "
21108110,259,Project structure,Project structure,/10-getting-started/30-project-structure.md,"A typical SvelteKit project looks like this: ```bash
my-project/
├ src/
│ ├ lib/
│ │ ├ server/
│ │ │ └ [your server-only lib files]
│ │ └ [your lib files]
│ ├ params/
│ │ └ [your param matchers]
│ ├ routes/
│ │ └ [your routes]
│ ├ app.html
│ ├ error.html
│ ├ hooks.client.js
│ └ hooks.server.js
├ static/
│ └ [your static assets]
├ tests/
│ └ [your tests]
├ package.json
├ svelte.config.js
├ tsconfig.json
└ vite.config.js
``` You'll also find common files like `.gitignore` and `.npmrc` (and `.prettierrc` and `.eslintrc.cjs` and so on, if you chose those options when running `npm create svelte@latest`). "
4c00ac00,768,src,Project structure > Project files > src,/10-getting-started/30-project-structure.md,"The `src` directory contains the meat of your project. Everything except `src/routes` and `src/app.html` is optional. *   `lib` contains your library code (utilities and components), which can be imported via the [`$lib`](modules#$lib) alias, or packaged up for distribution using [`svelte-package`](packaging)
    *   `server` contains your server-only library code. It can be imported by using the [`$lib/server`](server-only-modules) alias. SvelteKit will prevent you from importing these in client code.
*   `params` contains any [param matchers](advanced-routing#matching) your app needs
*   `routes` contains the [routes](routing) of your application. You can also colocate other components that are only used within a single route here
*   `app.html` is your page template — an HTML document containing the following placeholders:
    *   `%sveltekit.head%` — `<link>` and `<script>` elements needed by the app, plus any `<svelte:head>` content
    *   `%sveltekit.body%` — the markup for a rendered page. This should live inside a `<div>` or other element, rather than directly inside `<body>`, to prevent bugs caused by browser extensions injecting elements that are then destroyed by the hydration process. SvelteKit will warn you in development if this is not the case
    *   `%sveltekit.assets%` — either [`paths.assets`](configuration#paths), if specified, or a relative path to [`paths.base`](configuration#paths)
    *   `%sveltekit.nonce%` — a [CSP](configuration#csp) nonce for manually included links and scripts, if used
    *   `%sveltekit.env.[NAME]%` - this will be replaced at render time with the `[NAME]` environment variable, which must begin with the [`publicPrefix`](https://kit.svelte.dev/docs/configuration#env) (usually `PUBLIC_`). It will fallback to `''` if not matched.
*   `error.html` is the page that is rendered when everything else fails. It can contain the following placeholders:
    *   `%sveltekit.status%` — the HTTP status
    *   `%sveltekit.error.message%` — the error message
*   `hooks.client.js` contains your client [hooks](/docs/hooks)
*   `hooks.server.js` contains your server [hooks](/docs/hooks)
*   `service-worker.js` contains your [service worker](/docs/service-workers) You can use `.ts` files instead of `.js` files, if using TypeScript. If you added [Vitest](https://vitest.dev) when you set up your project, your unit tests will live in the `src` directory with a `.test.js` (or `.test.ts`) extension. "
8c823682,39,static,Project structure > Project files > static,/10-getting-started/30-project-structure.md,"Any static assets that should be served as-is, like `robots.txt` or `favicon.png`, go in here. "
97016f01,41,tests,Project structure > Project files > tests,/10-getting-started/30-project-structure.md,"If you added [Playwright](https://playwright.dev/) for browser testing when you set up your project, the tests will live in this directory. "
f42b28ab,119,package.json,Project structure > Project files > package.json,/10-getting-started/30-project-structure.md,"Your `package.json` file must include `@sveltejs/kit`, `svelte` and `vite` as `devDependencies`. When you create a project with `npm create svelte@latest`, you'll also notice that `package.json` includes `""type"": ""module""`. This means that `.js` files are interpreted as native JavaScript modules with `import` and `export` keywords. Legacy CommonJS files need a `.cjs` file extension. "
dbb5b8b5,34,svelte.config.js,Project structure > Project files > svelte.config.js,/10-getting-started/30-project-structure.md,This file contains your Svelte and SvelteKit [configuration](configuration). 
